benchmark_version,task_id,metric,expected_value,absolute_tolerance,validation_scope
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_eligible_episodes,27236.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_eligible_windows,490248.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_subjects,22437.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,full_observation_fraction,0.390602256825,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,mortality_90d,0.3278381553825819,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_eligible_episodes,16389.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_eligible_windows,295002.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_subjects,15312.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,full_observation_fraction,0.4085885882377624,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,mortality_90d,0.1617548355604368,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,full_eligible_episodes,16453.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,full_eligible_windows,296154.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,full_subjects,12979.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,full_observation_fraction,0.3922242224216461,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,mortality_90d,0.2656050568285419,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_af_rate_anticoag_compact_3bin,full_eligible_episodes,14580.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_af_rate_anticoag_compact_3bin,full_eligible_windows,262440.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_af_rate_anticoag_compact_3bin,full_subjects,11820.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_af_rate_anticoag_compact_3bin,full_observation_fraction,0.389537513256073,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_af_rate_anticoag_compact_3bin,mortality_90d,0.21275720164609052,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_hf_diuretic_binary,full_eligible_episodes,32552.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_hf_diuretic_binary,full_eligible_windows,585936.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_hf_diuretic_binary,full_subjects,27611.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_hf_diuretic_binary,full_observation_fraction,0.3779990375041961,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_hf_diuretic_binary,mortality_90d,0.1554743180142541,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_ami_hemodynamic_compact_3bin,full_eligible_episodes,5055.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_ami_hemodynamic_compact_3bin,full_eligible_windows,90990.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_ami_hemodynamic_compact_3bin,full_subjects,4440.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_ami_hemodynamic_compact_3bin,full_observation_fraction,0.3861553370952606,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_ami_hemodynamic_compact_3bin,mortality_90d,0.1940652818991098,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_shock_fluid_bolus_binary,full_eligible_episodes,30563.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_shock_fluid_bolus_binary,full_eligible_windows,550134.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_shock_fluid_bolus_binary,full_subjects,25970.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_shock_fluid_bolus_binary,full_observation_fraction,0.3934540450572967,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_shock_fluid_bolus_binary,mortality_90d,0.1890848411477931,1e-12,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_sepsis_vasopressor_3bin,action_count_observed,3.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_respiratory_peep_5bin,action_count_observed,4.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_aki_diuretic_rrt_factorized_3bin,action_count_observed,9.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_af_rate_anticoag_compact_3bin,action_count_observed,9.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_hf_diuretic_binary,action_count_observed,2.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_ami_hemodynamic_compact_3bin,action_count_observed,9.0,0.0,credentialed_mimiciv_v3_1_full_profile
KDD2027-E060-4H-v1.0.0,kdd2027_shock_fluid_bolus_binary,action_count_observed,2.0,0.0,credentialed_mimiciv_v3_1_full_profile
